head,relation,tail
天鹅,有,爪子
天鹅,可以,养殖
天鹅,需要,阳光
天鹅,有,多种种类
天鹅,有,头
天鹅,可以,捕猎
天鹅,可以,繁衍
天鹅,可以,行走
天鹅,可以,跑
天鹅,是,好看的
天鹅,是,水里的
天鹅,是,优美的
天鹅,像,鸡
天鹅,像,雪
天鹅,需要,栖息地
天鹅,有,多种颜色
天鹅,有,脚
天鹅,有,身体
土豆,有,淀粉
土豆,需要,土
土豆,可以,炒
土豆,是,黄色的
土豆,是,圆形
土豆,需要,清洗
土豆,是,硬的
土豆,需要,水
土豆,可以,饱腹
土豆,像,球
土豆,需要,肥料
土豆,有,营养
土豆,是,粮食
土豆,是,椭圆形
土豆,是,棕色的
土豆,像,鹅卵石
土豆,像,苹果
土豆,像,土堆
土豆,需要,剥开
土豆,需要,采摘
土豆,需要,炖
土豆,需要,加工
土豆,需要,烹饪
土豆,有,薄皮
土豆,有,茎
兔子,有,耳朵
兔子,有,眼睛
兔子,需要,水
兔子,需要,饲养
兔子,是,白色的
兔子,是,可爱的
兔子,有,毛
兔子,可以,跑
兔子,需要,草
兔子,有,尾巴
兔子,需要,空气
兔子,需要,胡罗卜
兔子,需要,睡觉
兔子,像,老鼠
兔子,有,四肢
兔子,是,哺乳类
兔子,像,猫
兔子,有,红眼睛
兔子,有,皮肤
兔子,是,灰色的
兔子,像,毛线球
兔子,像,棉花
兔子,需要,呼吸
兔子,需要,萝卜
兔子,有,鼻子
兔子,有,腿
兔子,可以,蹦
兔子,其他,龟兔赛跑
兔子,是,啮齿类
兔子,是,软的
兔子,是,生物
兔子,是,玩具
兔子,需要,青菜
兔子,需要,食用
袜子,可以,保暖
袜子,需要,清洗
袜子,可以,穿
袜子,可以,保护
袜子,是,棉的
袜子,有,布
袜子,可以,保护脚
袜子,是,衣服
袜子,可以,买卖
袜子,其他,脚
袜子,有,多种样式
袜子,像,船
袜子,是,成对的
袜子,像,袋子
袜子,像,鞋
袜子,有,洞
袜子,有,多种种类
袜子,有,两只
袜子,有,线
袜子,是,软的
袜子,是,舒服的
袜子,有,多种材质
袜子,有,多种长度
袜子,有,袜筒
围巾,需要,清洗
围巾,有,毛线
围巾,是,衣服
围巾,有,多种颜色
围巾,有,多种材质
围巾,有,多种样式
围巾,可以,戴
围巾,可以,围在脖子上
围巾,是,温暖的
围巾,可以,穿
围巾,是,棉的
围巾,是,条状的
围巾,像,围脖
围巾,需要,编织
围巾,有,宽度
围巾,有,流苏
围巾,有,毛
围巾,可以,挡风
围巾,可以,围脖
围巾,像,披风
围巾,像,丝带
围巾,需要,脖子
围巾,有,布
围巾,有,纹路
西瓜,像,球
西瓜,有,皮
西瓜,需要,土
西瓜,需要,阳光
西瓜,需要,水
西瓜,是,甜的
西瓜,是,圆形
西瓜,需要,切
西瓜,有,果肉
西瓜,可以,解渴
西瓜,有,瓜瓤
西瓜,需要,采摘
西瓜,可以,买卖
西瓜,有,瓜皮
西瓜,是,瓜
西瓜,有,水
西瓜,是,重的
西瓜,像,冬瓜
西瓜,像,足球
西瓜,有,瓜子
西瓜,有,果实
西瓜,有,花纹
西瓜,可以,降温
西瓜,是,大的
西瓜,是,黑色的
西瓜,是,药
西瓜,像,篮球
西瓜,像,南瓜
西瓜,需要,冷藏
西瓜,有,多种型号
西瓜,有,瓤
西瓜,有,肉
西瓜,有,种子
喜鹊,有,翅膀
喜鹊,需要,水
喜鹊,有,嘴巴
喜鹊,需要,空气
喜鹊,像,乌鸦
喜鹊,有,眼睛
喜鹊,像,麻雀
喜鹊,可以,报喜
喜鹊,像,鸽子
喜鹊,需要,虫
喜鹊,有,多种颜色
喜鹊,有,尾巴
喜鹊,有,爪子
喜鹊,可以,观赏
喜鹊,是,白色的
喜鹊,是,黑白的
喜鹊,是,喜庆的
喜鹊,有,头
喜鹊,可以,捕猎
喜鹊,是,好兆头
喜鹊,是,禽类
喜鹊,是,小的
喜鹊,像,飞机
喜鹊,需要,筑巢
喜鹊,有,脚
香蕉,有,皮
香蕉,是,黄色的
香蕉,有,果肉
香蕉,需要,水
香蕉,是,软的
香蕉,是,甜的
香蕉,需要,采摘
香蕉,是,热带的
香蕉,有,营养
香蕉,是,弯的
香蕉,像,船
香蕉,需要,土
香蕉,可以,买卖
香蕉,可以,晒干
香蕉,是,白色的
香蕉,是,电动的
香蕉,是,香的
香蕉,需要,空气
香蕉,有,种子
香蕉,可以,饱腹
香蕉,可以,生长
香蕉,是,长的
香蕉,像,黄瓜
香蕉,需要,扒皮
香蕉,需要,保鲜
香蕉,需要,防腐
香蕉,需要,肥料
香蕉,有,多种种类
香蕉,有,香蕉皮
牙齿,是,白色的
牙齿,是,硬的
牙齿,需要,清洗
牙齿,像,石头
牙齿,需要,保护
牙齿,是,器官
牙齿,可以,咬
牙齿,是,锋利的
牙齿,有,碳酸钙
牙齿,是,坚固的
牙齿,需要,刷牙
牙齿,有,钙
牙齿,有,牙釉质
牙齿,可以,撕咬
牙齿,可以,咬合
牙齿,像,宝石
牙齿,像,刀
牙齿,像,锯齿
牙齿,像,钻石
牙齿,需要,护理
牙齿,有,虫牙
牙齿,有,多种形状
牙齿,有,多种颜色
牙齿,有,多种样式
牙齿,有,多种种类
牙齿,有,尖
牙齿,有,牙神经
燕子,可以,飞
燕子,有,翅膀
燕子,需要,水
燕子,有,羽毛
燕子,有,嘴巴
燕子,是,黑色的
燕子,需要,虫
燕子,像,剪刀
燕子,需要,空气
燕子,有,尾巴
燕子,有,眼睛
燕子,需要,睡觉
燕子,需要,筑巢
燕子,有,脚
燕子,可以,繁衍
燕子,是,小的
燕子,像,大雁
燕子,像,飞机
燕子,像,喜鹊
燕子,需要,阳光
燕子,可以,叫
燕子,可以,迁徙
燕子,可以,衔泥
燕子,其他,候鸟
燕子,是,黑白的
燕子,是,可爱的
燕子,是,小巧的
燕子,像,鸽子
燕子,有,剪刀似的尾巴
椅子,是,木的
椅子,有,靠背
椅子,有,四条腿
椅子,有,腿
椅子,可以,休息
椅子,是,凳子
椅子,需要,制造
椅子,有,椅子腿
椅子,像,沙发
椅子,有,扶手
椅子,可以,储物
椅子,是,金属
椅子,是,生活用品
椅子,像,床
椅子,有,座位
椅子,可以,使用
椅子,可以,坐
椅子,是,物品
椅子,是,圆柱形
椅子,像,板凳
椅子,需要,保养
椅子,有,多种型号
椅子,有,多种样式
椅子,有,空间
椅子,有,支撑
椅子,有,座垫
雨伞,可以,挡雨
雨伞,需要,制造
雨伞,有,多种颜色
雨伞,可以,防水
雨伞,有,伞面
雨伞,可以,买卖
雨伞,是,生活用品
雨伞,是,雨具
雨伞,需要,撑开
雨伞,有,把手
雨伞,有,多种样式
雨伞,是,圆形
雨伞,有,多种型号
雨伞,有,伞布
雨伞,可以,防晒
雨伞,是,便携的
雨伞,是,伞
雨伞,像,盾牌
雨伞,需要,保存
雨伞,有,布
雨伞,有,多种种类
雨伞,有,伞架
雨伞,可以,伸缩
雨伞,像,降落伞
雨伞,像,雨衣
雨伞,需要,晾干
雨伞,需要,随身携带
雨伞,有,多种材质
直升机,可以,飞
直升机,是,工具
直升机,其他,交通
直升机,有,机身
直升机,可以,救援
直升机,需要,动力
直升机,需要,驾驶
直升机,需要,司机
直升机,是,器械
直升机,需要,飞行员
直升机,需要,油
直升机,有,发动机
直升机,有,机舱
直升机,是,一种飞机
直升机,像,蜻蜓
直升机,需要,加油
直升机,有,座位
直升机,可以,代步
直升机,可以,滑行
直升机,可以,科研
直升机,可以,探测
直升机,是,飞行器
直升机,是,小的
直升机,是,战争
直升机,像,火箭
直升机,像,鲸鱼
直升机,需要,研究
直升机,有,玻璃
直升机,有,单旋翼式
直升机,有,双旋翼式
直升机,有,引擎
